Land,Bezeichnung,Gemeinde,PLZ,BL,Verstädterung,Sample
01,Schleswig-Holstein,"Norderstedt, Stadt",22846,01,   dicht besiedelt,2.0
01,Schleswig-Holstein,"Kiel, Landeshauptstadt",24103,01,   dicht besiedelt,2.0
01,Schleswig-Holstein,"Kiel, Landeshauptstadt",24103,01,   dicht besiedelt,2.0
01,Schleswig-Holstein,Wentorf bei Hamburg,21465,01,   dicht besiedelt,2.0
01,Schleswig-Holstein,"Lübeck, Hansestadt",23539,01,   dicht besiedelt,2.0
01,Schleswig-Holstein,"Lübeck, Hansestadt",23539,01,   dicht besiedelt,2.0
01,Schleswig-Holstein,"Lübeck, Hansestadt",23539,01,   dicht besiedelt,2.0
01,Schleswig-Holstein,"Norderstedt, Stadt",22846,01,   dicht besiedelt,2.0
01,Schleswig-Holstein,"Flensburg, Stadt",24937,01,   dicht besiedelt,2.0
01,Schleswig-Holstein,"Flensburg, Stadt",24937,01,   dicht besiedelt,2.0
01,Schleswig-Holstein,"Lübeck, Hansestadt",23539,01,   dicht besiedelt,2.0
01,Schleswig-Holstein,"Bad Schwartau, Stadt",23611,01,   dicht besiedelt,2.0
01,Schleswig-Holstein,Kronshagen,24119,01,   dicht besiedelt,2.0
01,Schleswig-Holstein,"Kiel, Landeshauptstadt",24103,01,   dicht besiedelt,2.0
01,Schleswig-Holstein,"Norderstedt, Stadt",22846,01,   dicht besiedelt,2.0
01,Schleswig-Holstein,"Kiel, Landeshauptstadt",24103,01,   dicht besiedelt,2.0
01,Schleswig-Holstein,"Lübeck, Hansestadt",23539,01,   dicht besiedelt,2.0
01,Schleswig-Holstein,Ellerbek,25474,01,   dicht besiedelt,2.0
01,Schleswig-Holstein,"Lübeck, Hansestadt",23539,01,   dicht besiedelt,2.0
01,Schleswig-Holstein,"Neumünster, Stadt",24534,01,   dicht besiedelt,2.0
01,Schleswig-Holstein,"Kiel, Landeshauptstadt",24103,01,   dicht besiedelt,2.0
01,Schleswig-Holstein,"Kiel, Landeshauptstadt",24103,01,   dicht besiedelt,2.0
01,Schleswig-Holstein,"Norderstedt, Stadt",22846,01,   dicht besiedelt,2.0
01,Schleswig-Holstein,"Kiel, Landeshauptstadt",24103,01,   dicht besiedelt,2.0
01,Schleswig-Holstein,Wentorf bei Hamburg,21465,01,   dicht besiedelt,2.0
01,Schleswig-Holstein,"Kiel, Landeshauptstadt",24103,01,   dicht besiedelt,2.0
01,Schleswig-Holstein,"Kiel, Landeshauptstadt",24103,01,   dicht besiedelt,2.0
01,Schleswig-Holstein,"Flensburg, Stadt",24937,01,   dicht besiedelt,2.0
01,Schleswig-Holstein,"Lübeck, Hansestadt",23539,01,   dicht besiedelt,2.0
01,Schleswig-Holstein,"Lübeck, Hansestadt",23539,01,   dicht besiedelt,2.0
